16.7	10.02	22.545	1.1
16.7	10.02	24.215	1.1
16.7	10.02	25.885	1.1
16.7	10.02	27.555	1.1
16.7	10.02	29.225	1.1
16.7	10.02	30.895	1.1
16.7	10.02	32.565	1.1
16.7	10.02	34.235	1.1
16.7	10.02	35.905	1.1
16.7	10.02	37.575	1.1
16.7	10.02	39.245	1.1
16.7	10.02	40.915	1.1
16.7	10.02	42.585	1.1
16.7	10.02	44.255	1.1
16.7	10.02	45.925	1.1
16.7	10.02	47.595	1.1
16.7	10.02	49.265	1.1
16.7	10.02	50.935	1.1
16.7	10.02	52.605	1.1
16.7	10.02	54.275	1.1
16.7	10.02	55.945	1.1
16.7	10.02	57.615	1.1
16.7	10.02	59.285	1.1
16.7	10.02	60.955	1.1
16.7	10.02	62.625	1.1
16.7	10.02	64.295	1.1
16.7	10.02	65.965	1.1
16.7	11.69	22.545	1.1
16.7	11.69	24.215	1.1
16.7	11.69	25.885	1.1
16.7	11.69	27.555	1.1
16.7	11.69	29.225	1.1
16.7	11.69	30.895	1.1
16.7	11.69	32.565	1.1
16.7	11.69	34.235	1.1
16.7	11.69	35.905	1.1
16.7	11.69	37.575	1.1
16.7	11.69	39.245	1.1
16.7	11.69	40.915	1.1
16.7	11.69	42.585	1.1
16.7	11.69	44.255	1.1
16.7	11.69	45.925	1.1
16.7	11.69	47.595	1.1
16.7	11.69	49.265	1.1
16.7	11.69	50.935	1.1
16.7	11.69	52.605	1.1
16.7	11.69	54.275	1.1
16.7	11.69	55.945	1.1
16.7	11.69	57.615	1.1
16.7	11.69	59.285	1.1
16.7	11.69	60.955	1.1
16.7	11.69	62.625	1.1
16.7	11.69	64.295	1.1
16.7	11.69	65.965	1.1
16.7	13.36	22.545	1.1
16.7	13.36	24.215	1.1
16.7	13.36	25.885	1.1
16.7	13.36	27.555	1.1
16.7	13.36	29.225	1.1
16.7	13.36	30.895	1.1
16.7	13.36	32.565	1.1
16.7	13.36	34.235	1.1
16.7	13.36	35.905	1.1
16.7	13.36	37.575	1.1
16.7	13.36	39.245	1.1
16.7	13.36	40.915	1.1
16.7	13.36	42.585	1.1
16.7	13.36	44.255	1.1
16.7	13.36	45.925	1.1
16.7	13.36	47.595	1.1
16.7	13.36	49.265	1.1
16.7	13.36	50.935	1.1
16.7	13.36	52.605	1.1
16.7	13.36	54.275	1.1
16.7	13.36	55.945	1.1
16.7	13.36	57.615	1.1
16.7	13.36	59.285	1.1
16.7	13.36	60.955	1.1
16.7	13.36	62.625	1.1
16.7	13.36	64.295	1.1
16.7	13.36	65.965	1.1
16.7	15.03	22.545	1.1
16.7	15.03	24.215	1.1
16.7	15.03	25.885	1.1
16.7	15.03	27.555	1.1
16.7	15.03	29.225	1.1
16.7	15.03	30.895	1.1
16.7	15.03	32.565	1.1
16.7	15.03	34.235	1.1
16.7	15.03	35.905	1.1
16.7	15.03	37.575	1.1
16.7	15.03	39.245	1.1
16.7	15.03	40.915	1.1
16.7	15.03	42.585	1.1
